reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
110-270,270,,12.3,3,,,,
110-300,300,,12.6,3.1,,,,
110-330,330,,12.8,3.1,,,,
110-360,360,,13.5,3.2,,,,
110-390,390,,13.7,3.2,,,,
110-420,420,,13.9,3.3,,,,
110-450,450,,14.3,3.3,,,,
110-480,480,,15.1,3.3,,,,
110-510,510,,15.5,3.4,,,,
115-150,150,,9.7,3.1,,,,
115-167,167,,10,3.2,,,,
115-185,185,,10.4,3.3,,,,
115-203,203,,10.7,3.3,,,,
115-222,222,,11,3.5,,,,
115-253,253,,11.6,3.6,,,,
115-272,272,,11.8,3.7,,,,
115-290,290,,12,3.8,,,,
115-322,322,,12.5,3.9,,,,
115-354,354,,13,4,,,,
115-378,378,,13.2,4.1,,,,
115-401,401,,13.4,4.2,,,,
115-435,435,,13.8,4.3,,,,
115-469,469,,14.1,4.4,,,,
115-507,507,,14.5,4.5,,,,
115-547,547,,14.9,4.5,,,,
115-586,586,,15.3,4.6,,,,
115-627,627,,15.6,4.8,,,,
115-666,666,,16,4.9,,,,
115-716,716,,16.4,5,,,,
120-180,180,,9.4,3.3,,,,
120-220,220,,9.9,3.7,,,,
120-260,260,,10.6,4,,,,
120-300,300,,11,4.2,,,,
120-340,340,,11.5,4.3,,,,
120-400,400,,12.1,4.5,,,,
120-440,440,,12.7,4.6,,,,
120-500,500,,13.5,4.7,,,,
120-550,550,,13.9,4.8,,,,
120-600,600,,14.5,4.9,,,,
120-650,650,,15.5,5,,,,
