reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
TSL-290,290,,13.5,2.7,,,,
TSL-320,320,,14,2.8,,,,
TSL-350,350,,14.25,2.9,,,,
TSL-380,380,,14.5,3,,,,
TSL-410,410,,15,3.1,,,,
TSL-460,460,,15.5,3.2,,,,
TSL-510,510,,16,3.4,,,,
TSL-560,560,,16.5,3.5,,,,
TSL-610,610,,17,3.6,,,,
TRL-110,110,,10,1.9,,,,
TRL-125,125,,10.5,2,,,,
TRL-140,140,,11,2,,,,
TRL-170,170,,11.5,2.2,,,,
TRL-200,200,,12,2.4,,,,
TRL-230,230,,12.5,2.5,,,,
TRL-260,260,,13,2.6,,,,
TRL-290,290,,13.5,2.7,,,,
TRL-320,320,,14,2.8,,,,
TRL-350,350,,14.25,2.9,,,,
TRL-380,380,,14.5,3,,,,
TRL-410,410,,15,3.1,,,,
TRL-460,460,,15.5,3.2,,,,
TRL-510,510,,16,3.4,,,,
TRL-560,560,,16.5,3.5,,,,
TRL-610,610,,17,3.6,,,,
TCX-205,205,,9.5,4.4,,,,
TCX-225,225,,10,4.6,,,,
TCX-255,255,,10,4.8,,,,
TCX-285,285,,10.5,5,,,,
TCX-310,310,,11,5.4,,,,
TCX-340,340,,11.25,5.5,,,,
TCX-375,375,,11.5,5.7,,,,
TCX-400,400,,11.75,5.8,,,,
TCX-420,420,,12,5.9,,,,
TCX-445,445,,12.25,6,,,,
TCX-470,470,,12.5,6.2,,,,
TCX-495,495,,12.75,6.2,,,,
TCX-525,525,,13,6.3,,,,
TCX-545,545,,13.25,6.3,,,,
TCX-560,560,,13.5,6.4,,,,
TCX-580,580,,13.75,6.5,,,,
TCX-615,615,,14,6.5,,,,
TCX-650,650,,14.25,6.6,,,,
TCX-700,700,,14.5,6.6,,,,
TCX-750,750,,15,6.7,,,,
TCX-800,800,,15.5,6.8,,,,
TSX-205,205,,9.5,4.4,,,,
TSX-225,225,,10,4.6,,,,
TSX-255,255,,10,4.8,,,,
TSX-285,285,,10.5,5,,,,
TSX-310,310,,11,5.4,,,,
TSX-340,340,,11.25,5.5,,,,
TSX-375,375,,11.5,5.7,,,,
TSX-400,400,,11.75,5.8,,,,
TSX-420,420,,12,5.9,,,,
TSX-445,445,,12.25,6,,,,
TSX-470,470,,12.5,6.2,,,,
TSX-495,495,,12.75,6.2,,,,
TSX-525,525,,13,6.3,,,,
TSX-545,545,,13.25,6.3,,,,
TSX-560,560,,13.5,6.4,,,,
TSX-580,580,,13.75,6.5,,,,
TSX-615,615,,14,6.5,,,,
TSX-650,650,,14.25,6.6,,,,
TSX-700,700,,14.5,6.6,,,,
TSX-750,750,,15,6.7,,,,
TSX-800,800,,15.5,6.8,,,,
TRX-205,205,,9.5,4.4,,,,
TRX-225,225,,10,4.6,,,,
TRX-255,255,,10,4.8,,,,
TRX-285,285,,10.5,5,,,,
TRX-310,310,,11,5.4,,,,
TRX-340,340,,11.25,5.5,,,,
TRX-375,375,,11.5,5.7,,,,
TRX-400,400,,11.75,5.8,,,,
TRX-420,420,,12,5.9,,,,
TRX-445,445,,12.25,6,,,,
TRX-470,470,,12.5,6.2,,,,
TRX-495,495,,12.75,6.2,,,,
TRX-525,525,,13,6.3,,,,
TRX-545,545,,13.25,6.3,,,,
TRX-560,560,,13.5,6.4,,,,
TRX-580,580,,13.75,6.5,,,,
TRX-615,615,,14,6.5,,,,
TRX-650,650,,14.25,6.6,,,,
TRX-700,700,,14.5,6.6,,,,
TRX-750,750,,15,6.7,,,,
TRX-800,800,,15.5,6.8,,,,
TCF-180,180,,9.5,4,,,,
TCF-200,200,,9.75,4.1,,,,
TCF-220,220,,10,4.2,,,,
TCF-240,240,,10.5,4.3,,,,
TCF-265,265,,11,4.5,,,,
TCF-295,295,,11.25,4.6,,,,
TCF-325,325,,11.5,4.7,,,,
TCF-335,335,,11.75,4.8,,,,
TCF-345,345,,12,4.9,,,,
TCF-365,365,,12.25,5,,,,
TCF-385,385,,12.5,5.1,,,,
TCF-415,415,,12.75,5.2,,,,
TCF-450,450,,13,5.3,,,,
TCF-485,485,,13.25,5.4,,,,
TCF-520,520,,13.5,5.5,,,,
TCF-560,560,,14,5.7,,,,
TCF-605,605,,14.5,5.8,,,,
TCF-650,650,,14.75,5.9,,,,
TCF-695,695,,15,6,,,,
TCF-745,745,,15.5,6.1,,,,
TCF-770,770,,16,6.2,,,,
TSF-180,180,,9.5,4,,,,
TSF-200,200,,9.75,4.1,,,,
TSF-220,220,,10,4.2,,,,
TSF-240,240,,10.5,4.3,,,,
TSF-265,265,,11,4.5,,,,
TSF-295,295,,11.25,4.6,,,,
TSF-325,325,,11.5,4.7,,,,
TSF-335,335,,11.75,4.8,,,,
TSF-345,345,,12,4.9,,,,
TSF-365,365,,12.25,5,,,,
TSF-385,385,,12.5,5.1,,,,
TSF-415,415,,12.75,5.2,,,,
TSF-450,450,,13,5.3,,,,
TSF-485,485,,13.25,5.4,,,,
TSF-520,520,,13.5,5.5,,,,
TSF-560,560,,14,5.7,,,,
TSF-605,605,,14.5,5.8,,,,
TSF-650,650,,14.75,5.9,,,,
TSF-695,695,,15,6,,,,
TSF-745,745,,15.5,6.1,,,,
TSF-770,770,,16,6.2,,,,
TRF-180,180,,9.5,4,,,,
TRF-200,200,,9.75,4.1,,,,
TRF-220,220,,10,4.2,,,,
TRF-240,240,,10.5,4.3,,,,
TRF-265,265,,11,4.5,,,,
TRF-295,295,,11.25,4.6,,,,
TRF-325,325,,11.5,4.7,,,,
TRF-335,335,,11.75,4.8,,,,
TRF-345,345,,12,4.9,,,,
TRF-365,365,,12.25,5,,,,
TRF-385,385,,12.5,5.1,,,,
TRF-415,415,,12.75,5.2,,,,
TRF-450,450,,13,5.3,,,,
TRF-485,485,,13.25,5.4,,,,
TRF-520,520,,13.5,5.5,,,,
TRF-560,560,,14,5.7,,,,
TRF-605,605,,14.5,5.8,,,,
TRF-650,650,,14.75,5.9,,,,
TRF-695,695,,15,6,,,,
TRF-745,745,,15.5,6.1,,,,
TRF-770,770,,16,6.2,,,,
FX-410185,185,,,4.6,,,9.5,10
FX-410215,215,,,4.9,,,10,10.5
FX-410245,245,,,5.1,,,10.5,11
FX-410280,280,,,5.3,,,11,11.5
FX-410315,315,,,5.5,,,11.5,12
FX-410360,360,,,5.7,,,12,12.5
FX-410410,410,,,6,,,12.5,13
FX-410450,450,,,6.1,,,13,13.5
FX-410495,495,,,6.2,,,13.5,14
FX-410560,560,,,6.5,,,14,14.5
FX-410615,615,,,6.7,,,14.5,15
FX-410690,690,,,7,,,15,15.5
FX-410775,775,,,7.1,,,15.5,16
MX-410165,165,,,4.6,,,9.5,8.6
MX-410195,195,,,4.9,,,10,9.1
MX-410225,225,,,5.1,,,10.5,9.6
MX-410255,255,,,5.3,,,11,10.1
MX-410290,290,,,5.5,,,11.5,10.6
MX-410325,325,,,5.7,,,12,11.1
MX-410370,370,,,6,,,12.5,11.6
MX-410410,410,,,6.1,,,13,12.1
MX-410445,445,,,6.2,,,13.5,12.5
MX-410520,520,,,6.5,,,14,12.9
MX-410550,550,,,6.7,,,14.5,13.2
MX-410620,620,,,7,,,15,13.6
MX-410685,685,,,7.1,,,15.5,13.9
LX-410145,145,,,4.6,,,9.5,7.6
LX-410175,175,,,4.9,,,10,8.1
LX-410195,195,,,5.1,,,10.5,8.6
LX-410225,225,,,5.3,,,11,9.1
LX-410255,255,,,5.5,,,11.5,9.6
LX-410290,290,,,5.7,,,12,10.1
LX-410330,330,,,6,,,12.5,10.5
LX-410365,365,,,6.1,,,13,10.9
LX-410405,405,,,6.2,,,13.5,11.4
LX-410455,455,,,6.5,,,14,11.8
LX-410515,515,,,6.7,,,14.5,12.2
LX-410570,570,,,7,,,15,12.6
LX-410625,625,,,7.1,,,15.5,13
FF-410185,185,,,4,,,10,10.5
FF-410220,220,,,4.2,,,10.5,11
FF-410255,255,,,4.4,,,11,11.5
FF-410290,290,,,4.6,,,11.5,12
FF-410335,335,,,4.8,,,12,12.5
FF-410375,375,,,5.1,,,12.5,13
FF-410425,425,,,5.2,,,13,13.5
FF-410475,475,,,5.3,,,13.5,14
FF-410535,535,,,5.6,,,14,14.5
FF-410595,595,,,5.8,,,14.5,15
FF-410655,655,,,6.1,,,15,15.5
FF-410740,740,,,6.2,,,15.5,16
FM-410205,205,,,3.8,,,10.5,11
FM-410235,235,,,4,,,11,11.5
FM-410270,270,,,4.2,,,11.5,12
FM-410310,310,,,4.4,,,12,12.5
FM-410350,350,,,4.6,,,12.5,13
FM-410395,395,,,4.8,,,13,13.5
FM-410440,440,,,5,,,13.5,14
FM-410500,500,,,5.2,,,14,14.5
FM-410550,550,,,5.4,,,14.5,15
FM-410605,605,,,5.5,,,15,15.5
FM-410670,670,,,5.6,,,15.5,16
MF-410140,140,,,3.7,,,9.5,8.6
MF-410165,165,,,4,,,10,9.1
MF-410195,195,,,4.2,,,10.5,9.6
MF-410225,225,,,4.4,,,11,10.1
MF-410255,255,,,4.6,,,11.5,10.6
MF-410295,295,,,4.8,,,12,11.1
MF-410335,335,,,5.1,,,12.5,11.6
MF-410375,375,,,5.2,,,13,12.1
MF-410420,420,,,5.3,,,13.5,12.5
MF-410470,470,,,5.6,,,14,12.9
MF-410525,525,,,5.8,,,14.5,13.2
MF-410580,580,,,6.1,,,15,13.6
MF-410640,640,,,6.2,,,15.5,13.9
MM-410160,160,,,3.6,,,10,9.1
MM-410185,185,,,3.8,,,10.5,9.6
MM-410215,215,,,4,,,11,10.1
MM-410245,245,,,4.2,,,11.5,10.6
MM-410280,280,,,4.4,,,12,11.1
MM-410320,320,,,4.6,,,12.5,11.6
MM-410360,360,,,4.8,,,13,12.1
MM-410400,400,,,5,,,13.5,12.5
MM-410450,450,,,5.2,,,14,12.9
LF-410125,125,,,3.7,,,9.5,7.6
LF-410150,150,,,4,,,10,8.1
LF-410175,175,,,4.2,,,10.5,8.6
LF-410205,205,,,4.4,,,11,9.1
LF-410240,240,,,4.6,,,11.5,9.6
LF-410270,270,,,4.8,,,12,10.1
LF-410310,310,,,5.1,,,12.5,10.5
LF-410390,390,,,5.3,,,13.5,11.4
LF-410440,440,,,5.6,,,14,11.8
LF-410490,490,,,5.8,,,14.5,12.2
LF-410540,540,,,6.1,,,15,12.6
LF-410595,595,,,6.2,,,15.5,13
LM-410140,140,,,3.6,,,10,8.1
LM-410190,190,,,4,,,11,9.1
LM-410220,220,,,4.2,,,11.5,9.6
LM-410250,250,,,4.4,,,12,10.1
LM-410320,320,,,4.8,,,13,10.9
FL-410140,140,,,2.9,,,10,10.5
FL-410190,190,,,3.1,,,11,11.5
FL-410220,220,,,3.2,,,11.5,12
FL-410250,250,,,3.4,,,12,12.5
FL-410320,320,,,3.8,,,13,13.5
ML-410125,125,,,2.9,,,10,9.1
ML-410170,170,,,3.1,,,11,10.1
ML-410195,195,,,3.2,,,11.5,10.6
ML-410220,220,,,3.4,,,12,11.1
ML-410285,285,,,3.8,,,13,12.1
LL-410135,135,,,3,,,10.5,8.6
LL-410180,180,,,3.2,,,11.5,9.6
LL-410210,210,,,3.4,,,12,10.1
LL-410240,240,,,3.6,,,12.5,10.5
LL-410300,300,,,4,,,13.5,11.4
68HP-160,160,175,9,3.9,8.8,4.3,,
68HP-200,200,220,9.6,4.2,9.5,4.6,,
68HP-240,240,260,10.2,4.4,10,5,,
68HP-280,280,300,10.6,4.7,10.5,5.2,,
68HP-320,320,340,11.1,4.9,11,5.3,,
68HP-350,350,380,11.6,4.9,11.4,5.5,,
68HP-400,400,430,11.9,5,11.7,5.9,,
68HP-425,425,455,12.3,5.3,12.1,5.9,,
68HP-465,465,505,12.6,5.6,12.5,6.1,,
68HP-500,500,540,13,5.7,12.8,6.3,,
68HP-550,550,590,13.3,5.8,13.1,6.4,,
68HP-600,600,640,13.7,6,13.5,6.6,,
68HP-650,650,700,14,6.1,13.8,6.9,,
68HP-700,700,750,14.4,6.2,14.1,7.1,,
68HP-750,750,800,14.6,6.5,14.4,7.2,,
68HP-800,800,850,15,6.7,14.7,7.2,,
68-120,120,150,9,3,8.9,3.5,,
68-150,150,180,9.6,3.3,9.5,3.8,,
68-180,180,210,10.2,3.4,10.1,3.9,,
68-210,210,240,10.6,3.7,10.5,4.1,,
68-240,240,270,11.1,3.8,11,4.2,,
68-270,270,300,11.6,3.9,11.5,4.3,,
68-300,300,330,11.9,4.1,11.8,4.4,,
68-330,330,360,12.3,4.2,12.2,4.5,,
68-360,360,390,12.7,4.2,12.6,4.5,,
68-390,390,420,13,4.5,12.9,4.6,,
68-420,420,450,13.4,4.5,13.3,4.6,,
68-450,450,480,13.7,4.6,13.6,4.7,,
68-480,480,510,14.1,4.6,14,4.7,,
68-510,510,540,14.4,4.6,14.3,4.7,,
68-550,550,600,14.6,4.9,14.5,5.1,,
68-600,600,650,15,5,14.9,5.2,,
68-650,650,700,15.2,5.3,15.1,5.5,,
68-700,700,750,15.6,5.4,15.5,5.6,,
68-750,750,800,15.9,5.6,15.8,5.8,,
68-800,800,850,16.4,5.6,16.3,5.8,,
68LP-125,125,145,9.5,2.6,9.3,3.2,,
68LP-150,150,170,10,2.7,9.9,3.2,,
68LP-175,175,195,10.6,2.8,10.4,3.3,,
68LP-200,200,220,11,3,10.9,3.4,,
68LP-225,225,245,11.4,3.1,11.3,3.4,,
68LP-250,250,270,11.9,3.2,11.7,3.5,,
68LP-275,275,295,12.2,3.3,12.1,3.6,,
68LP-300,300,320,12.5,3.4,12.4,3.7,,
68LP-325,325,345,12.9,3.5,12.7,3.8,,
68LP-350,350,370,13.3,3.6,13.2,3.8,,
68LP-400,400,420,13.5,3.8,13.4,4.2,,
