reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
10621-255MP,255,,11,3.9,,,,
10621-255MP,255,,11,3.9,,,,
10621-280HP,280,,11.1,4.5,,,,
10621-285MP,285,,11.4,4,,,,
10621-285MP,285,,11.4,4,,,,
10621-300HP,300,,11.4,4.6,,,,
10621-305MP,305,,11.7,4,,,,
10621-305MP,305,,11.7,4,,,,
10621-325MP,325,,11.8,4.4,,,,
10621-325MP,325,,11.8,4.4,,,,
10621-330HP,330,,11.7,4.7,,,,
10621-350HP,350,,12,4.8,,,,
10621-355MP,355,,12.1,4.4,,,,
10621-355MP,355,,12.1,4.4,,,,
10621-385HP,385,,12.3,4.9,,,,
10621-385MP,385,,12.5,4.5,,,,
10621-385MP,385,,12.5,4.5,,,,
10621-415HP,415,,12.5,5,,,,
10621-415MP,415,,12.9,4.6,,,,
10621-435MP,435,,13.2,4.6,,,,
10621-435MP,435,,13.2,4.6,,,,
10621-440HP,440,,12.8,5.1,,,,
10621-455MP,455,,13.3,4.8,,,,
10621-485MP,485,,13.6,4.8,,,,
10621-485MP,485,,13.6,4.8,,,,
10621-505HP,505,,13.4,5.3,,,,
10621-505MP,505,,13.7,4.9,,,,
10621-525MP,525,,13.8,5,,,,
10621-525MP,525,,13.8,5,,,,
10621-540MP,540,,13.9,5.1,,,,
10621-565HP,565,,14,5.5,,,,
10621-575MP,575,,14.1,5.2,,,,
10621-575MP,575,,14.1,5.2,,,,
10621-590MP,590,,14.3,5.3,,,,
10621-625MP,625,,14.6,5.3,,,,
10621-625MP,625,,14.6,5.3,,,,
10621-650MP,650,,14.8,5.4,,,,
10621-695MP,695,,15.1,5.5,,,,
10621-695MP,695,,15.1,5.5,,,,
10645-180HP,180,,,4.3,,,9.8,8.3
10645-220LP,220,,,3.1,,,12.3,10.6
10645-240HP,240,,,4.7,,,10.5,8.9
10645-250MP,250,,,4.2,,,12,10.3
10645-270LP,270,,,3.3,,,13.3,11.1
10645-290MP,290,,,4.5,,,12.3,10.7
10645-300HP,300,,,5,,,11.4,10.1
10645-320LP,320,,,3.5,,,14.3,12.1
10645-330MP,330,,,4.5,,,13,11.2
10645-370HP,370,,,5.3,,,12.5,10.8
10645-370MP,370,,,4.7,,,13.4,11.4
