reference,nominal fill volume,max fill volume,nominal diameter,nominal projection,max diameter,max projection,width,height
334-1456,545,,,6.3,,,14.5,13.1
334-1457,515,,,6.1,,,14.5,12.8
334-1459,615,,,6.1,,,14.5,15.1
334-1501,460,,,5.1,,,15,13.4
334-1503,585,,,4.8,,,15,15.3
334-1505,650,,,6.3,,,15,14.1
334-1506,605,,,6.6,,,15,13.5
334-1507,570,,,6.3,,,15,13.3
334-1509,680,,,6.3,,,15,15.6
334-1551,510,,,5.2,,,15.5,13.8
334-1553,645,,,5,,,15.5,15.9
334-1601,560,,,5.4,,,16,14.3
334-1607,690,,,6.8,,,16,14.2
334-1651,615,,,5.6,,,16.5,14.7
350-1001BC,100,,8.2,2.7,,,,
350-1251BC,125,,8.9,2.8,,,,
350-1254BC,125,,8.3,3.5,,,,
350-1501BC,150,,9.5,2.9,,,,
350-1504BC,150,,8.8,3.7,,,,
350-1751BC,175,,10,3.1,,,,
350-1754BC,175,,9.3,3.9,,,,
350-2001BC,200,,10.5,3.2,,,,
350-2004BC,200,,9.7,4,,,,
350-2251BC,225,,10.9,3.3,,,,
350-2254BC,225,,10.1,4.2,,,,
350-2501BC,250,,11.3,3.4,,,,
350-2504BC,250,,10.5,4.3,,,,
350-2751BC,275,,11.7,3.5,,,,
350-2754BC,275,,10.8,4.4,,,,
350-3001BC,300,,12,3.6,,,,
350-3004BC,300,,11.1,4.5,,,,
350-3251BC,325,,12.3,3.8,,,,
350-3254BC,325,,11.4,4.6,,,,
350-3501BC,350,,12.5,3.9,,,,
350-3504BC,350,,11.7,4.8,,,,
350-3751BC,375,,12.8,4,,,,
350-3754BC,375,,12,4.8,,,,
350-4001BC,400,,13.1,4,,,,
350-4004BC,400,,12.2,5,,,,
350-4254BC,425,,12.5,5,,,,
350-4501BC,450,,13.6,4.2,,,,
350-4504BC,450,,12.8,5.1,,,,
350-5001BC,500,,14.1,4.3,,,,
350-5004BC,500,,13.2,5.3,,,,
350-5135BC,135,,7.8,4.1,,,,
350-5160BC,160,,8.2,4.3,,,,
350-5185BC,185,,8.4,4.4,,,,
350-5215BC,215,,8.7,4.5,,,,
350-5240BC,240,,9,4.7,,,,
350-5270BC,270,,9.3,4.8,,,,
350-5295BC,295,,9.7,5,,,,
350-5320BC,320,,9.8,5.1,,,,
350-5350BC,350,,10.1,5.2,,,,
350-5375BC,375,,10.4,5.3,,,,
350-5400BC,400,,10.6,5.4,,,,
350-5430BC,430,,10.9,5.6,,,,
350-5455BC,455,,11.2,5.7,,,,
350-5480BC,480,,11.4,5.8,,,,
350-5501BC,550,,14.6,4.5,,,,
350-5504BC,550,,13.6,5.5,,,,
350-5535BC,535,,12,6.1,,,,
350-5590BC,590,,12.5,6.3,,,,
350-6001BC,600,,15,4.6,,,,
350-6004BC,600,,14,5.6,,,,
350-6504BC,650,,14.4,5.7,,,,
350-7001BC,700,,15.8,4.9,,,,
350-7004BC,700,,14.8,5.8,,,,
350-7100BC,100,,9.3,2.1,,,,
350-7125BC,125,,10,2.2,,,,
350-7150BC,150,,10.3,2.3,,,,
350-7175BC,175,,11.2,2.4,,,,
350-7200BC,200,,11.7,2.5,,,,
350-7225BC,225,,12.2,2.6,,,,
350-7250BC,250,,12.3,2.8,,,,
350-7275BC,275,,13.2,2.9,,,,
350-7300BC,300,,13.5,3,,,,
350-7325BC,325,,13.9,3,,,,
350-7350BC,350,,14.2,3.1,,,,
350-7375BC,375,,14.4,3.2,,,,
350-7400BC,400,,14.5,3.2,,,,
350-7450BC,450,,14.9,3.4,,,,
350-7500BC,500,,15.2,3.6,,,,
350-7550BC,550,,15.9,3.6,,,,
350-7600BC,600,,16.5,3.7,,,,
350-7700BC,700,,17.4,3.9,,,,
350-7800BC,800,,18.2,4.1,,,,
350-8001BC,800,,16.5,5.1,,,,
350-8004BC,800,,15.5,6,,,,
354-0908,120,,,3.3,,,9,8.5
354-0958,135,,,3.5,,,9.5,8.9
354-1001,100,,8.1,2.7,,,,
354-1007,100,,8.8,2.5,,,,
354-1008,155,,,3.7,,,10,9.4
354-1009,100,,9.1,2.6,,,,
354-1058,180,,,3.8,,,10.5,9.9
354-1108,215,,,3.9,,,11,10.3
354-1158,245,,,4,,,11.5,10.8
354-1208,280,,,4.2,,,12,11.3
354-1251,125,,8.8,2.9,,,,
354-1257,125,,9.3,2.8,,,,
354-1258,315,,,4.4,,,12.5,11.8
354-1259,125,,9.3,2.8,,,,
354-1307MC,130,,9.6,2.5,,,,
354-1308,355,,,4.6,,,13,12.2
354-1358,395,,,4.7,,,13.5,12.7
354-1408,440,,,4.9,,,14,13.2
354-1458,480,,,5,,,14.5,13.6
354-1501,150,,9.4,3,,,,
354-1507,150,,10.2,2.7,,,,
354-1507MC,150,,10.2,2.6,,,,
354-1508,530,,,5.2,,,15,14.1
354-1509,150,,10.1,2.4,,,,
354-1608,640,,,5.6,,,16,15
354-1707MC,170,,10.6,2.7,,,,
354-1708,775,,,5.9,,,17,16
354-1751,175,,10,3.2,,,,
354-1757,175,,10.7,2.8,,,,
354-1759,175,,10.5,2.9,,,,
354-1907MC,190,,11,2.8,,,,
354-2001,200,,10.5,3.3,,,,
354-2007,200,,11.2,2.8,,,,
354-2009,200,,11.2,2.8,,,,
354-2157MC,215,,11.5,2.9,,,,
354-2251,225,,10.9,3.5,,,,
354-2257,225,,11.4,3,,,,
354-2259,225,,11.5,3,,,,
354-2357MC,235,,11.7,3,,,,
354-2501,250,,11.3,3.6,,,,
354-2507,250,,11.5,3.3,,,,
354-2509,250,,11.6,3.5,,,,
354-2557MC,255,,12.1,3.1,,,,
354-2751,275,,11.7,3.7,,,,
354-2757,275,,12.4,3.4,,,,
354-2757MC,275,,12.3,3.2,,,,
354-2759,275,,12.6,3.1,,,,
354-3001,300,,12,3.7,,,,
354-3007,300,,12.6,3.5,,,,
354-3007MC,300,,12.6,3.3,,,,
354-3009,300,,12.6,3.6,,,,
354-3207MC,320,,12.9,3.3,,,,
354-3251,325,,12.3,3.8,,,,
354-3257,325,,12.9,3.6,,,,
354-3259,325,,13.1,3.6,,,,
354-3407MC,340,,13.2,3.4,,,,
354-3501,350,,12.6,3.8,,,,
354-3507,350,,13.4,3.7,,,,
354-3509,350,,13.4,3.5,,,,
354-3607MC,360,,13.4,3.4,,,,
354-3751,375,,12.9,3.9,,,,
354-3757,375,,13.4,3.8,,,,
