PrimaryDI|deviceId|deviceIdType|deviceIdIssuingAgency|containsDINumber|pkgQuantity|pkgDiscontinuedate|pkgStatus
fb99a9b3-eabf-4779-8e3d-9a7ed1beaef8|10888628001176|Primary|GS1||||
8ba0ec1a-c65f-4ab2-a37a-49846f9c6768|10888628001145|Primary|GS1||||
0b69753e-bc11-45a6-af55-8d5ce46f36be|10888628001053|Primary|GS1||||
4ac2ec27-9987-4d70-8be5-288ed40709b4|10888628001039|Primary|GS1||||
259e3f7d-ffb6-42f0-971d-fc86e8c92b3a|10888628001022|Primary|GS1||||
271402be-d2c8-4fc5-9722-60fed64d5b9c|10888628000926|Primary|GS1||||
3ddcb801-b27c-4ec8-909e-083441996324|10888628000902|Primary|GS1||||
18813a34-c3de-4652-878d-94ca97e4a032|10888628000704|Primary|GS1||||
d653b4d0-d602-4af8-8861-2eaa28e7f5f3|10888628000650|Primary|GS1||||
ab036dcf-e961-4978-bec9-243ecbf7d61e|10888628000605|Primary|GS1||||
c6b12943-ddc8-4335-ac98-63b6926fcf9d|10888628000582|Primary|GS1||||
adcbf031-dae6-4587-9206-9f50729f57bb|10888628000575|Primary|GS1||||
5ab6832b-44ad-49d7-90ff-f7c153c0d489|10888628000469|Primary|GS1||||
fe224022-3f48-4c18-8bc1-58f41eed53d4|10888628000407|Primary|GS1||||
73364b25-e3c0-4d99-a7f5-96a3eec3df17|10888628000339|Primary|GS1||||
3927b7d5-e9f9-49d6-a85d-6b5572b3aa93|10888628000322|Primary|GS1||||
087b781e-aca2-4848-bbff-65a85b793e3d|10888628000230|Primary|GS1||||
61f0df7a-2bb7-4881-9274-864ee339094e|10888628000223|Primary|GS1||||
a79c9806-896a-4d2f-b3d9-886df38985b0|10888628000216|Primary|GS1||||
f734f056-c23c-4416-95ff-d8f6c96fe493|10888628000209|Primary|GS1||||
138171a2-190d-4adf-bcf1-70ef3805f49f|10888628000179|Primary|GS1||||
5a005bfa-e4c8-46d9-8a2c-5913c74e396d|10888628000155|Primary|GS1||||
791cf032-2bc3-4254-a1e0-c6fdb7ecece5|00081317009047|Primary|GS1||||
977eca1f-4db3-453e-a334-680fc20b00a3|00081317002147|Primary|GS1||||
33d329d1-62fd-4197-b22f-01b5ce595115|00081317002130|Primary|GS1||||
d7c4ddd6-99cd-4363-a063-1c4b9026fc7f|00081317002086|Primary|GS1||||
237c887a-89fd-4253-b0dc-bda6db3e873b|00081317002048|Primary|GS1||||
4faa52ac-d0d7-47e4-9672-a30b84de512b|00081317002031|Primary|GS1||||
6dcff963-1d71-40ad-ae41-51dfd398caec|00081317001980|Primary|GS1||||
fb94baad-a5cb-4691-80fc-9540480dfbd9|00081317001973|Primary|GS1||||
dd54983b-4829-4d69-a877-2ad454447b83|00081317001966|Primary|GS1||||
76796de6-6864-4a8c-8585-efcc09b2d72e|00081317001867|Primary|GS1||||
0578e0b1-24a6-42ca-9b5e-b7ff79045f59|00081317001669|Primary|GS1||||
3a62d421-b80f-46e0-a7a2-4205ee7ebfa8|00081317001638|Primary|GS1||||
6d7352a9-c9e8-472b-bf20-93fbd834fdb4|00081317001621|Primary|GS1||||
e26bf40a-db54-46f3-bef5-079383ed53c5|00081317001607|Primary|GS1||||
caaedb5c-86a7-493f-a746-86e259bc0bad|00081317001515|Primary|GS1||||
99c4ab0b-1c03-4f32-8db1-d69ff68185b7|00081317001478|Primary|GS1||||
8fd1557d-d978-4123-8119-59932d35a53d|00081317001454|Primary|GS1||||
363d3c31-1240-4a0a-bd69-ca399ff8b3d9|00081317001447|Primary|GS1||||
ebdef10c-7b39-4e6c-b35d-a78322c9d31d|00081317001409|Primary|GS1||||
b24f5d93-0aac-4ffc-81d5-959f9dac098f|00081317001393|Primary|GS1||||
21f7c545-8477-4938-bd74-90f4b66cf891|00081317001362|Primary|GS1||||
1d0e94d8-b917-49e4-93ad-26ba160256cd|00081317001355|Primary|GS1||||
2618cc36-d40a-4b0c-bfa1-0b5bdfe62c6b|00081317001300|Primary|GS1||||
5d473912-2915-4e8b-bfa2-39b6f3c7e950|00081317001294|Primary|GS1||||
933a6110-429e-4eeb-8b70-99ea6b14929d|00081317001287|Primary|GS1||||
b01867dd-70b2-4575-b8fb-344684653fde|00081317001270|Primary|GS1||||
9ccf5e23-d3c9-4c0f-8924-075c4d61ee51|10851795006107|Primary|GS1||||
a9eb4451-b31e-4634-b2cc-40e2c74c0d52|10851795006053|Primary|GS1||||
cc3f6927-af27-4fd9-bd6c-121ee3ff11b4|10888628001084|Primary|GS1||||
6de1d27d-fe37-46df-b239-5d22f051d662|10888628001077|Primary|GS1||||
8763a21f-8ffc-46be-a2d5-577cc07d483b|10888628001060|Primary|GS1||||
2b447715-db1f-440a-95ff-e4ccf38bf730|10888628001015|Primary|GS1||||
02d28c4c-a9ee-4521-87a2-5ef39af66e78|10888628000964|Primary|GS1||||
9631eb8a-730c-4226-a94f-dd42c17eb300|10888628000957|Primary|GS1||||
c518b016-69c9-4c4b-9314-1dfa75ec413b|10888628000940|Primary|GS1||||
2a8bdf63-5844-4f45-8609-521cbd3dbaaf|10888628000872|Primary|GS1||||
